Date,SE,FI,NO,DK,DE,AT,UK,NL,US,CH,AU,BE
2013,1142855,243111,185182,45034,750053,3341,0,93813,0,0,0,0
2014,2552775,466735,521036,125915,1928084,27303,2920,227432,0,0,0,0
2015,4012653,693055,775860,167646,3424238,105183,81566,360113,41388,0,0,0
2016,6034437,983456,1133488,207941,5584804,306475,252246,550229,311848,0,0,0
2017,8118096,1319922,1499467,243374,7423818,523171,324539,719208,380742,0,0,0
2018,11347067,1802720,2067993,294437,12003958,924115,666209,1153025,413885,0,0,0
2019,13949638,2224063,2591655,355636,16446588,1285233,1632536,1615150,1332592,3,0,0
2020,16718071,2736940,3201076,450988,22720883,1954699,3353007,2440191,3505139,97294,36942,27180
2021,19239849,3192903,3825766,565511,30954149,2611301,5219669,3373949,7592255,312851,108707,104843
2022,19611020,3268498,3936059,585295,32376684,2732783,5617669,3527939,8623616,360394,129300,123363
